ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
,204.8904554713360,20791.318980747000,7.300211873184760,368.51644134980300,564.3086541722440,10.3797830780847,86.9909704615088,2.9631353806316400,0
3.71608007538699,129.42292051494400,18630.057857970300,6.635245883862,,592.8853591348520,15.180013116357300,56.32907628451760,4.500656274942410,0
8.099124189298400,224.23625939355800,19909.541732292400,9.275883602694090,,418.6062130644820,16.868636929551000,66.42009251176370,3.0559337496641700,0
8.316765884214680,214.37339408562300,22018.417440775300,8.05933237743854,356.88613564305700,363.2665161642440,18.436524495493300,100.34167436508000,4.628770536837080,0
9.092223456290970,181.10150923612500,17978.98633892630,6.546599974207940,310.13573752420400,398.41081338184500,11.558279443446400,31.997992727424700,4.075075425430030,0
5.584086638456090,188.3133237696160,28748.68773904610,7.54486878877965,326.6783629116740,280.4679159334880,8.399734640152760,54.917861841994500,2.5597082275565200,0
10.223862164528800,248.07173527014000,28749.716543528200,7.5134084658313000,393.66339551509600,283.6516335078450,13.789695317519900,84.60355617402360,2.672988736934780,0
8.635848718500730,203.36152258457100,13672.091763901600,4.563008685599700,303.3097711592810,474.60764494244900,12.36381669870530,62.798308962925200,4.401424715445480,0
,118.98857909025200,14285.583854224500,7.804173553073090,268.646940746221,389.3755658712610,12.70604896865790,53.928845767512200,3.5950171809576200,0
11.180284470721600,227.23146923797500,25484.50849098790,9.077200016914390,404.04163468409000,563.8854814810950,17.92780641128500,71.97660103221920,4.370561936655500,0
7.360640105838260,165.52079725952900,32452.614409143900,7.550700906704110,326.62435345560200,425.38341949538700,15.586810438033100,78.74001566430480,3.6622917828524600,0
7.974521648923870,218.69330048866600,18767.65668181350,8.110384501123880,,364.09823046204900,14.525745697593200,76.48591117965160,4.011718108339790,0
7.119824384264550,156.70499334039200,18730.813653342700,3.6060360905057200,282.3440504739610,347.71502726194400,15.929535908825700,79.5007783369744,3.445756223321900,0
,150.1749233951360,27331.361961927800,6.838223470687510,299.41578134685800,379.76183482577200,19.370807181232100,76.5099955279583,4.413974182974900,0
7.49623220797336,205.34498215818500,28388.00488673700,5.072557773840630,,444.6453523327070,13.228311099224500,70.30021264692440,4.777382337225380,0
6.347271760539320,186.73288066057600,41065.23476453940,9.629596276480580,364.4876872467600,516.743281893657,11.539781191539400,75.07161728663780,4.376348290691900,0
7.051785800016850,211.04940606054600,30980.600786788900,10.094796011661400,,315.1412672443020,20.39702184072250,56.65160378979330,4.268428857506190,0
9.181560007151540,273.81380665980100,24041.32628006130,6.904989726470100,398.3505168222780,477.9746418621780,13.387340780225500,71.4573622129516,4.503660796179120,0
8.975464347533960,279.35716677009200,19460.398131232100,6.204320858892470,,431.44398999034900,12.88875905430400,63.82123709666400,2.4360855903052700,0
7.371050302429530,214.49661045715700,25630.320036999700,4.432669290372120,335.75443859606500,469.91455147923600,12.509163940498700,62.79727715266130,2.5602991476149100,0
,227.43504835115600,22305.56741374140,10.333917888218700,,554.8200864605430,16.33169328269450,45.382815177870900,4.13342264357917,0
6.660212026118100,168.28374685651800,30944.363591242700,5.858769130547580,310.93085831787800,523.6712975009440,17.88423519296480,77.0423180517003,3.7497012410996200,0
,215.97785868806800,17107.224225827600,5.607060453087130,326.943977743867,436.25619397264900,14.189062206123700,59.85547582615390,5.459250956028730,0
3.902475685915100,196.9032467083210,21167.500098968800,6.996311586298770,,444.47888250689800,16.609033155789900,90.1816758847452,4.528522696326910,0
5.400301780729470,140.73906225114000,17266.593421923100,10.056852484033500,328.3582406986840,472.8740732754290,11.256381166909500,56.9319064457562,4.824786389767520,0
6.514415093251680,198.76735125945600,21218.702871190200,8.67093691991312,323.5963490101320,413.2904500885350,14.899999566697000,79.84784281372560,5.200885076539760,0
3.4450618643852100,207.92626018799400,33424.7686784948,8.782147480773490,384.00700580172100,441.7858756739390,13.80590221127080,30.284597198002700,4.184396969028850,0
,145.76818060217300,13224.935638977000,7.906444720606140,304.0019927974150,298.99066649993200,12.729524720542300,49.536848802021900,4.004871127571580,0
,266.4210180681170,26362.965012309300,7.700063469729130,395.38949034184600,364.48010670373800,10.34895075743780,53.00838135392040,3.9915642477993100,0
,148.15306144508700,15193.41347396720,9.04683270725723,307.01179262256500,563.8047433250860,16.56865556799740,52.67618503420980,6.0381849531835900,0
7.181448580829180,209.62560053629000,15196.229987483800,5.994678646449970,338.3364310774870,342.1112862851930,7.92259833302262,71.5379532557936,5.088859989138800,0
9.82548990813439,190.7566182870040,19677.892465552000,6.757540731413940,,452.8362348772380,16.8990378000164,47.081971185777700,2.857472426051180,0
10.433290982804400,117.79122955039700,22326.892045718700,8.161504810728330,307.70750861182400,412.9868337903320,12.890708564511800,65.73347838938280,5.057310516515730,0
7.414148196336240,235.04453448737100,32555.852537073700,6.8459520238449000,387.1753164773570,411.983364167012,10.244815068359800,44.48929725226030,3.160624468232640,0
,232.28045202353200,14787.206264858200,5.474914831733130,,383.9817230247580,12.16693714505170,86.08072748444090,5.029166724080740,0
5.115817063771220,191.95274297485900,19620.545328612200,6.060712994989330,323.8363839136300,441.74837932486900,10.96648615295350,49.23823132273570,3.9020887676437500,0
3.641629777473380,183.90872226182700,24752.072459755400,5.538314133481360,286.0595560492710,456.8600959410410,9.03406675271333,73.5946567566564,3.4643530351550200,0
5.618064405909150,304.23591211231700,17281.97516841160,6.101083505101920,,399.47156628109400,12.265001577513600,81.58899245649900,2.8965469413044700,0
,143.45373131192300,19942.273218184800,5.89075458310612,,427.1306714819020,22.46989198835700,53.12409421895880,2.90756391519334,0
9.267187530763550,198.61439471909600,24683.723566029700,6.110612421393190,328.07753320146900,396.87694905791800,16.471969353155100,30.383314574642000,4.324004645618280,0
